date,branchcode,materialcode,sales_qty,stock_on_hand,intransit_qty,pending_po_qty,lead_time_days,stockout_flag
2022-01-01,GC01,SKU_A,19,519,99,29,6,0
2022-01-01,GC01,SKU_B,45,394,145,24,12,0
2022-01-01,GC01,SKU_C,47,243,50,44,7,0
2022-01-01,GC01,SKU_D,45,323,74,51,10,0
2022-01-01,GC01,SKU_E,24,603,87,21,6,0
2022-01-01,GC02,SKU_A,45,489,51,31,5,0
2022-01-01,GC02,SKU_B,39,228,85,42,5,0
2022-01-01,GC02,SKU_C,27,363,118,81,7,0
2022-01-01,GC02,SKU_D,53,404,77,45,7,0
2022-01-01,GC02,SKU_E,35,429,89,40,10,0
2022-01-01,GC03,SKU_A,54,449,124,104,12,0
2022-01-01,GC03,SKU_B,38,447,78,25,5,0
2022-01-01,GC03,SKU_C,48,548,121,69,10,0
2022-01-01,GC03,SKU_D,37,360,89,33,9,0
2022-01-01,GC03,SKU_E,44,496,91,55,11,0
2022-01-01,GC04,SKU_A,12,407,76,65,4,0
2022-01-01,GC04,SKU_B,35,621,114,56,9,0
2022-01-01,GC04,SKU_C,26,384,60,27,10,0
2022-01-01,GC04,SKU_D,29,401,71,63,7,0
2022-01-01,GC04,SKU_E,21,455,40,48,13,0
2022-01-01,GC05,SKU_A,51,419,130,34,12,0
2022-01-01,GC05,SKU_B,41,420,35,40,10,0
2022-01-01,GC05,SKU_C,28,524,88,45,11,0
2022-01-01,GC05,SKU_D,37,711,89,60,5,0
2022-01-01,GC05,SKU_E,12,350,109,24,13,0
2022-01-02,GC01,SKU_A,8,431,121,66,10,0
2022-01-02,GC01,SKU_B,30,309,0,66,13,0
2022-01-02,GC01,SKU_C,27,437,65,78,8,0
2022-01-02,GC01,SKU_D,30,234,0,61,12,0
2022-01-02,GC01,SKU_E,45,357,61,62,10,0
2022-01-02,GC02,SKU_A,23,706,74,40,12,0
2022-01-02,GC02,SKU_B,27,276,146,20,8,0
2022-01-02,GC02,SKU_C,4,4,113,55,7,1
2022-01-02,GC02,SKU_D,54,235,31,47,4,0
2022-01-02,GC02,SKU_E,45,268,92,54,9,0
2022-01-02,GC03,SKU_A,20,592,142,70,10,0
2022-01-02,GC03,SKU_B,21,420,125,85,8,0
2022-01-02,GC03,SKU_C,20,331,53,33,8,0
2022-01-02,GC03,SKU_D,25,93,70,40,10,0
2022-01-02,GC03,SKU_E,33,597,89,40,5,0
2022-01-02,GC04,SKU_A,29,293,20,60,12,0
2022-01-02,GC04,SKU_B,25,392,63,26,10,0
2022-01-02,GC04,SKU_C,52,482,89,55,8,0
2022-01-02,GC04,SKU_D,7,687,67,54,3,0
2022-01-02,GC04,SKU_E,36,227,111,53,10,0
2022-01-02,GC05,SKU_A,40,537,85,49,3,0
2022-01-02,GC05,SKU_B,18,333,81,52,8,0
2022-01-02,GC05,SKU_C,45,328,139,49,6,0
2022-01-02,GC05,SKU_D,29,247,14,92,8,0
2022-01-02,GC05,SKU_E,28,408,101,51,10,0
2022-01-03,GC01,SKU_A,24,500,113,70,12,0
2022-01-03,GC01,SKU_B,30,464,78,77,5,0
2022-01-03,GC01,SKU_C,25,422,96,55,6,0
2022-01-03,GC01,SKU_D,35,361,112,16,10,0
2022-01-03,GC01,SKU_E,34,411,56,43,10,0
2022-01-03,GC02,SKU_A,30,399,78,75,10,0
2022-01-03,GC02,SKU_B,30,380,85,48,3,0
2022-01-03,GC02,SKU_C,35,404,70,59,6,0
2022-01-03,GC02,SKU_D,33,497,70,80,10,0
2022-01-03,GC02,SKU_E,29,495,38,26,7,0
2022-01-03,GC03,SKU_A,43,229,59,46,11,0
2022-01-03,GC03,SKU_B,13,198,116,77,13,0
2022-01-03,GC03,SKU_C,30,462,73,53,5,0
2022-01-03,GC03,SKU_D,22,544,171,84,13,0
2022-01-03,GC03,SKU_E,36,278,65,41,12,0
2022-01-03,GC04,SKU_A,49,538,146,72,8,0
2022-01-03,GC04,SKU_B,32,498,116,43,9,0
2022-01-03,GC04,SKU_C,17,372,126,55,7,0
2022-01-03,GC04,SKU_D,28,368,162,94,6,0
2022-01-03,GC04,SKU_E,29,227,110,80,11,0
2022-01-03,GC05,SKU_A,33,294,53,56,7,0
2022-01-03,GC05,SKU_B,22,238,76,32,9,0
2022-01-03,GC05,SKU_C,29,543,100,56,12,0
2022-01-03,GC05,SKU_D,23,395,135,61,10,0
2022-01-03,GC05,SKU_E,46,458,63,13,5,0
2022-01-04,GC01,SKU_A,16,563,45,69,7,0
2022-01-04,GC01,SKU_B,29,466,84,21,6,0
2022-01-04,GC01,SKU_C,31,421,53,94,8,0
2022-01-04,GC01,SKU_D,29,330,67,68,12,0
2022-01-04,GC01,SKU_E,33,302,18,28,10,0
2022-01-04,GC02,SKU_A,32,478,144,67,11,0
2022-01-04,GC02,SKU_B,28,538,105,63,11,0
2022-01-04,GC02,SKU_C,33,338,65,12,13,0
2022-01-04,GC02,SKU_D,42,416,47,73,12,0
2022-01-04,GC02,SKU_E,37,316,68,30,6,0
